name,lat,lng
Autumn olive,44.338,-78.7366
Autumn olive,44.0771,-78.5068
Autumn olive,44.0772,-78.4886
Autumn olive,44.3395,-78.7392
Autumn olive,44.3395,-78.7392
Autumn olive,44.3389,-78.739
Autumn olive,43.9445,-80.0775
Autumn olive,44.012,-78.1898
Autumn olive,44.0116,-78.1897
Autumn olive,44.0102,-78.1891
Autumn olive,44.0121,-78.1921
Autumn olive,44.0118,-78.1942
Autumn olive,43.2493,-81.8476
Autumn olive,44.3331,-78.5302
Autumn olive,44.3327,-78.5315
Autumn olive,44.3357,-78.5373
Autumn olive,44.3358,-78.5371
Autumn olive,44.0746,-78.5002
Autumn olive,44.0778,-78.5053
Autumn olive,44.0766,-78.5039
Autumn olive,44.0758,-78.5018
